epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.91251,2.1343,3.03659,1.81986,0.36169,0.33663,0.25069,0.10279,2.01484,3.28327,1.99656,0.000652482,0.000652482,0.000652482
2,14.0658,2.02299,2.27256,1.71058,0.022,0.54785,0.0172,0.00714,2.20774,92.3987,2.39293,0.00131588,0.00131588,0.00131588
3,19.0028,2.00976,2.03261,1.77001,0.35561,0.34323,0.28258,0.10016,2.28775,2.39695,2.32713,0.00197599,0.00197599,0.00197599
4,24.1108,2.05884,2.02881,1.7977,0.01869,0.46865,0.01486,0.00526,2.6098,25.2576,3.97792,0.00198515,0.00198515,0.00198515
5,29.0973,2.0609,1.93282,1.76402,0.05239,0.39604,0.03704,0.01504,2.34853,5.80905,3.08948,0.0019802,0.0019802,0.0019802
6,33.895,2.01749,1.93994,1.79938,0.53421,0.51485,0.48854,0.21366,2.02799,2.2176,2.07034,0.00197525,0.00197525,0.00197525
7,38.9609,1.94553,1.84065,1.77405,0.49547,0.52145,0.45993,0.20269,2.07125,1.98881,1.94675,0.0019703,0.0019703,0.0019703
8,44.0471,1.94726,1.7932,1.73398,0.53067,0.49835,0.50213,0.22139,2.01433,1.83681,1.97802,0.00196535,0.00196535,0.00196535
9,49.0868,1.96807,1.79435,1.77097,0.45199,0.46865,0.40028,0.17174,2.03168,2.13601,2.02629,0.0019604,0.0019604,0.0019604
10,53.9191,1.92761,1.72882,1.72159,0.59903,0.51815,0.55133,0.23451,2.08872,1.8474,1.91844,0.00195545,0.00195545,0.00195545
11,59.1288,1.91522,1.70423,1.71102,0.61118,0.45215,0.48457,0.20779,2.06657,2.29856,1.91166,0.0019505,0.0019505,0.0019505
12,64.132,1.92304,1.74811,1.72882,0.59172,0.50825,0.50811,0.22611,2.0057,1.79827,1.91895,0.00194555,0.00194555,0.00194555
13,69.2203,1.88596,1.66013,1.67382,0.66258,0.55088,0.59773,0.28108,1.91271,1.64422,1.8575,0.0019406,0.0019406,0.0019406
14,74.3463,1.91023,1.67914,1.70443,0.69409,0.44224,0.53604,0.23969,1.95525,1.86035,1.88551,0.00193565,0.00193565,0.00193565
15,79.5029,1.8772,1.6825,1.71313,0.53597,0.55776,0.51525,0.21502,2.06453,1.77175,2.1142,0.0019307,0.0019307,0.0019307
16,84.4058,1.86883,1.65992,1.69432,0.61655,0.49505,0.52884,0.22988,2.1086,1.78895,2.05185,0.00192575,0.00192575,0.00192575
17,89.3759,1.86196,1.61482,1.67959,0.59159,0.57368,0.61944,0.25964,1.99162,1.65575,1.93762,0.0019208,0.0019208,0.0019208
18,94.4873,1.84412,1.56425,1.71122,0.58184,0.57426,0.58915,0.275,1.9025,1.58706,1.90157,0.00191585,0.00191585,0.00191585
19,99.4758,1.83194,1.55481,1.64928,0.56726,0.54125,0.54603,0.23849,1.98413,1.74003,1.91774,0.0019109,0.0019109,0.0019109
20,104.32,1.82215,1.66004,1.68502,0.63778,0.55446,0.59375,0.26238,1.98894,1.61819,1.90576,0.00190595,0.00190595,0.00190595
21,109.355,1.83081,1.58177,1.6265,0.66123,0.51155,0.59788,0.28324,1.94651,1.66928,1.88752,0.001901,0.001901,0.001901
22,114.373,1.82134,1.51942,1.6439,0.71679,0.47855,0.59354,0.27995,1.92788,1.62451,1.88414,0.00189605,0.00189605,0.00189605
23,119.241,1.79411,1.4997,1.61647,0.6999,0.57756,0.6369,0.28664,1.96796,1.56454,1.85145,0.0018911,0.0018911,0.0018911
24,124.433,1.78263,1.47529,1.5878,0.67637,0.5794,0.62246,0.28483,1.92497,1.53489,1.84152,0.00188615,0.00188615,0.00188615
25,129.3,1.7742,1.51797,1.64396,0.67679,0.57359,0.63885,0.28675,1.95316,1.54885,1.90598,0.0018812,0.0018812,0.0018812
26,134.15,1.79336,1.55501,1.67112,0.66085,0.57426,0.61832,0.29412,1.92548,1.55726,1.91179,0.00187625,0.00187625,0.00187625
27,139.169,1.77615,1.51369,1.62719,0.75031,0.55116,0.63424,0.2867,1.98021,1.52929,1.88756,0.0018713,0.0018713,0.0018713
28,144.118,1.73369,1.46045,1.59618,0.72695,0.55776,0.65864,0.30676,1.93112,1.53659,1.86135,0.00186635,0.00186635,0.00186635
29,149.006,1.76924,1.44063,1.62894,0.69855,0.55116,0.61394,0.29048,1.91912,1.51611,1.90508,0.0018614,0.0018614,0.0018614
30,153.763,1.76212,1.44649,1.6091,0.68528,0.55776,0.6204,0.28603,1.95915,1.55409,1.88463,0.00185645,0.00185645,0.00185645
31,158.833,1.79985,1.4284,1.63651,0.74285,0.57756,0.66481,0.29296,2.01435,1.45585,1.94852,0.0018515,0.0018515,0.0018515
32,163.755,1.7355,1.37115,1.58044,0.66666,0.58083,0.62288,0.27554,2.02186,1.58296,1.97598,0.00184655,0.00184655,0.00184655
33,168.517,1.74392,1.40051,1.6216,0.768,0.55776,0.67068,0.30813,1.92547,1.48877,1.85652,0.0018416,0.0018416,0.0018416
34,173.514,1.76965,1.41727,1.61968,0.72786,0.55446,0.62578,0.27692,2.02712,1.63175,1.93685,0.00183665,0.00183665,0.00183665
35,178.571,1.76059,1.48781,1.63395,0.62846,0.58416,0.61181,0.28512,1.93333,1.55683,1.907,0.0018317,0.0018317,0.0018317
36,183.368,1.7453,1.40219,1.6452,0.67977,0.61716,0.66592,0.30769,1.97865,1.52762,1.90984,0.00182675,0.00182675,0.00182675
37,188.223,1.71532,1.38348,1.59584,0.75392,0.49835,0.62335,0.2948,1.97538,1.52297,1.92762,0.0018218,0.0018218,0.0018218
38,193.314,1.72103,1.34005,1.57789,0.75355,0.53465,0.61581,0.28395,1.9749,1.52293,1.89284,0.00181685,0.00181685,0.00181685
39,198.119,1.66338,1.32558,1.55154,0.69444,0.55506,0.64022,0.28399,2.03668,1.51919,1.95723,0.0018119,0.0018119,0.0018119
40,202.891,1.68329,1.32877,1.56375,0.73932,0.56161,0.65531,0.31077,1.93281,1.43846,1.89636,0.00180695,0.00180695,0.00180695
41,208.049,1.6712,1.28553,1.56354,0.65804,0.59736,0.65719,0.31086,1.9182,1.43608,1.85681,0.001802,0.001802,0.001802
42,213.019,1.67037,1.31494,1.58218,0.67206,0.57756,0.63754,0.30504,1.91137,1.54826,1.87969,0.00179705,0.00179705,0.00179705
43,217.91,1.67357,1.32598,1.56266,0.74671,0.55446,0.63406,0.30674,1.93031,1.49912,1.86045,0.0017921,0.0017921,0.0017921
44,222.916,1.6678,1.30853,1.55538,0.70922,0.57426,0.64663,0.29323,2.00909,1.47249,1.92566,0.00178715,0.00178715,0.00178715
45,227.884,1.6783,1.33932,1.56206,0.69536,0.60266,0.65767,0.30852,1.89769,1.41901,1.85907,0.0017822,0.0017822,0.0017822
46,232.781,1.64497,1.30749,1.55994,0.71032,0.60726,0.64339,0.30884,1.96465,1.47124,1.92102,0.00177725,0.00177725,0.00177725
47,237.707,1.63161,1.25442,1.5287,0.69055,0.60391,0.67143,0.325,1.90559,1.42888,1.90414,0.0017723,0.0017723,0.0017723
48,242.871,1.64539,1.28746,1.55078,0.72615,0.56436,0.65656,0.32108,1.91816,1.38304,1.88674,0.00176735,0.00176735,0.00176735
49,247.642,1.64278,1.24948,1.53542,0.76427,0.58086,0.68131,0.33556,1.8678,1.38296,1.84702,0.0017624,0.0017624,0.0017624
50,252.599,1.63196,1.22356,1.5214,0.62027,0.64356,0.65965,0.31701,1.94195,1.4595,1.85996,0.00175745,0.00175745,0.00175745
51,257.659,1.60295,1.25919,1.50631,0.64261,0.59343,0.62457,0.29138,1.95999,1.51559,1.92322,0.0017525,0.0017525,0.0017525
52,262.507,1.6323,1.3182,1.5296,0.67499,0.59406,0.64309,0.31211,1.89868,1.41433,1.88046,0.00174755,0.00174755,0.00174755
53,267.29,1.60454,1.21044,1.51291,0.70305,0.57426,0.61119,0.2901,2.00515,1.56754,1.94563,0.0017426,0.0017426,0.0017426
54,272.269,1.57801,1.2472,1.50942,0.75023,0.55513,0.6579,0.31478,1.94635,1.41339,1.91596,0.00173765,0.00173765,0.00173765
55,277.285,1.5949,1.22519,1.50446,0.73429,0.60726,0.67795,0.32106,1.91978,1.35701,1.88801,0.0017327,0.0017327,0.0017327
56,282.137,1.62171,1.23983,1.52756,0.74478,0.62046,0.68745,0.31812,1.97325,1.39037,1.92668,0.00172775,0.00172775,0.00172775
57,287.286,1.62426,1.2915,1.56629,0.77184,0.60288,0.69028,0.33345,1.92245,1.32975,1.90722,0.0017228,0.0017228,0.0017228
58,292.34,1.55999,1.18058,1.47161,0.76607,0.62046,0.68973,0.3269,1.91955,1.38701,1.87191,0.00171785,0.00171785,0.00171785
59,297.288,1.54063,1.15328,1.45624,0.67964,0.64686,0.6637,0.31834,1.9888,1.41026,1.94867,0.0017129,0.0017129,0.0017129
60,302.401,1.58996,1.22667,1.51827,0.70717,0.63036,0.66588,0.31388,1.94141,1.40626,1.92466,0.00170795,0.00170795,0.00170795
61,307.575,1.58486,1.18036,1.48344,0.72181,0.59736,0.65866,0.31699,1.93254,1.30533,1.90844,0.001703,0.001703,0.001703
62,312.359,1.62539,1.25573,1.52757,0.7121,0.59736,0.65069,0.30088,1.92669,1.43972,1.86216,0.00169805,0.00169805,0.00169805
63,317.242,1.55524,1.20544,1.48002,0.74037,0.59076,0.64212,0.30356,1.952,1.45643,1.87909,0.0016931,0.0016931,0.0016931
64,322.33,1.57217,1.14299,1.46728,0.72968,0.62361,0.67255,0.32619,1.96423,1.37086,1.896,0.00168815,0.00168815,0.00168815
65,327.32,1.52433,1.12195,1.44431,0.74715,0.59406,0.66868,0.31964,1.90744,1.33323,1.86642,0.0016832,0.0016832,0.0016832
66,332.141,1.55603,1.16751,1.50273,0.70963,0.61386,0.64797,0.30653,1.92036,1.42218,1.86537,0.00167825,0.00167825,0.00167825
67,337.22,1.60475,1.21393,1.51877,0.78939,0.58086,0.66168,0.32208,1.94633,1.43092,1.88783,0.0016733,0.0016733,0.0016733
68,342.156,1.51879,1.11119,1.47687,0.7226,0.64356,0.67762,0.32284,1.95845,1.42944,1.91401,0.00166835,0.00166835,0.00166835
