epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.5584,2.32335,3.85436,2.17037,0.06564,0.17442,0.04753,0.01443,2.5014,3.31443,2.55775,0.000653333,0.000653333,0.000653333
2,16.6971,2.1848,2.8845,2.09528,0.04618,0.13953,0.02819,0.00702,2.7242,3.97819,2.82634,0.00131673,0.00131673,0.00131673
3,22.0501,2.18185,2.6949,2.15365,0.19292,0.14535,0.07617,0.0202,2.75305,4.24261,3.18336,0.00197683,0.00197683,0.00197683
4,27.3968,2.13083,2.67167,2.11932,0.05235,0.06977,0.01938,0.00483,2.64448,10.4708,3.58535,0.00198515,0.00198515,0.00198515
5,32.5722,2.12482,2.53139,2.07786,0.04444,0.21512,0.02411,0.00648,2.7117,20.2595,3.44231,0.0019802,0.0019802,0.0019802
6,38.1892,2.12532,2.47786,2.09922,0.08437,0.38953,0.07727,0.01968,2.23772,3.50798,2.50947,0.00197525,0.00197525,0.00197525
7,43.4096,2.10051,2.4895,2.10296,0.12249,0.18605,0.08682,0.03166,2.14374,4.54924,2.35817,0.0019703,0.0019703,0.0019703
8,48.5899,2.0694,2.51415,2.05273,0.19268,0.23837,0.13672,0.04469,2.37253,3.15366,2.62268,0.00196535,0.00196535,0.00196535
9,53.8858,2.04019,2.46984,1.99374,0.25712,0.36628,0.24396,0.08282,2.02115,2.57468,2.156,0.0019604,0.0019604,0.0019604
10,58.982,2.0366,2.41224,2.00199,0.15777,0.3703,0.12793,0.03986,2.14462,2.68401,2.21467,0.00195545,0.00195545,0.00195545
11,63.9916,1.99302,2.45355,2.01627,0.31396,0.29651,0.20199,0.06949,2.11234,2.53353,2.23902,0.0019505,0.0019505,0.0019505
12,69.2052,1.95813,2.36075,2.01374,0.21419,0.27326,0.16472,0.05571,2.08659,3.26127,2.30413,0.00194555,0.00194555,0.00194555
13,74.3655,1.96949,2.36041,1.98235,0.25995,0.38953,0.24012,0.08044,2.07762,2.87658,2.21111,0.0019406,0.0019406,0.0019406
14,79.5049,1.9826,2.34679,2.00946,0.28364,0.25581,0.17915,0.05711,2.37147,2.67703,2.42875,0.00193565,0.00193565,0.00193565
15,84.6976,1.9282,2.32966,2.00917,0.34302,0.42194,0.28002,0.10212,1.93891,2.35452,2.11818,0.0019307,0.0019307,0.0019307
16,89.9749,1.9579,2.32343,1.9621,0.28713,0.37209,0.29097,0.1006,1.95148,2.32486,2.05125,0.00192575,0.00192575,0.00192575
17,94.854,1.93554,2.28671,1.92749,0.33476,0.41279,0.32697,0.1101,1.96932,2.32022,2.00803,0.0019208,0.0019208,0.0019208
18,100.049,1.87547,2.21442,1.89779,0.17212,0.22674,0.1805,0.06692,2.11354,2.81217,2.29916,0.00191585,0.00191585,0.00191585
19,105.328,1.90242,2.25254,1.92821,0.25231,0.38372,0.24443,0.09164,1.95378,2.24978,2.03685,0.0019109,0.0019109,0.0019109
20,110.421,1.88638,2.21636,1.92611,0.4001,0.35287,0.29929,0.10606,1.87912,2.52651,2.08972,0.00190595,0.00190595,0.00190595
21,115.28,1.87082,2.2301,1.91896,0.31795,0.37791,0.26157,0.09208,2.03377,2.32214,2.11525,0.001901,0.001901,0.001901
22,120.457,1.8906,2.19202,1.90872,0.47058,0.52326,0.40578,0.13744,1.94075,2.16383,2.0728,0.00189605,0.00189605,0.00189605
23,125.565,1.91307,2.18702,1.92402,0.32622,0.43023,0.29586,0.10101,1.9711,2.29716,2.10964,0.0018911,0.0018911,0.0018911
24,130.553,1.85263,2.19612,1.90913,0.4264,0.44949,0.39682,0.15857,1.88867,2.10506,2.04291,0.00188615,0.00188615,0.00188615
25,135.887,1.90234,2.10559,1.87795,0.39869,0.36047,0.36363,0.1212,2.01815,2.25555,2.03828,0.0018812,0.0018812,0.0018812
26,140.99,1.81524,2.11216,1.84089,0.33045,0.44186,0.34934,0.12155,1.91261,2.16519,1.96033,0.00187625,0.00187625,0.00187625
27,146.121,1.84011,2.09324,1.83247,0.35659,0.30814,0.29136,0.11171,1.92267,2.23951,2.03641,0.0018713,0.0018713,0.0018713
28,151.214,1.79563,2.09851,1.83066,0.50962,0.49419,0.48481,0.16509,1.91305,2.0782,2.07182,0.00186635,0.00186635,0.00186635
