                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.5415,                 3.4544,                 2.0676,                0.00865,                0.71894,                0.04545,                0.01327,                 2.3207,                 3.5965,                 2.0716,                0.00062,                0.00062,                0.00062
                      2,                 2.2887,                 2.7967,                 1.8428,                0.01002,                0.83299,                0.02956,                0.00885,                 2.2328,                  3.545,                 2.0035,              0.0012569,              0.0012569,              0.0012569
                      3,                 2.2318,                 2.7016,                 1.8561,                0.11067,                0.08566,                 0.0561,                0.01602,                 2.3651,                 3.1237,                 2.2862,              0.0018906,              0.0018906,              0.0018906
                      4,                 2.1871,                 2.6228,                 1.8272,                0.13683,                0.10234,                0.05645,                0.01876,                 2.7219,                 2.9143,                 2.3907,              0.0019852,              0.0019852,              0.0019852
                      5,                 2.1765,                 2.5364,                 1.8115,                 0.2072,                0.30143,                0.14931,                0.05171,                 2.1784,                    3.4,                 2.0428,              0.0019802,              0.0019802,              0.0019802
                      6,                 2.1671,                 2.4446,                 1.8046,                0.26254,                0.19756,                0.15565,                0.05264,                 2.2552,                 4.0825,                 2.0529,              0.0019753,              0.0019753,              0.0019753
                      7,                 2.1648,                 2.3948,                  1.782,                 0.3358,                0.40326,                0.28281,                0.09991,                 2.0884,                 3.1391,                 1.8858,              0.0019703,              0.0019703,              0.0019703
                      8,                 2.1427,                 2.3511,                 1.7782,                0.32759,                0.37271,                0.28042,                 0.1059,                 2.1074,                 3.5772,                 1.9091,              0.0019654,              0.0019654,              0.0019654
                      9,                 2.1097,                 2.3159,                 1.7456,                0.32528,                0.31568,                0.23096,                0.06946,                  2.266,                 3.7104,                 1.9907,              0.0019604,              0.0019604,              0.0019604
                     10,                 2.0972,                  2.254,                 1.7601,                 0.3503,                 0.4053,                 0.3175,                0.11575,                 2.0306,                 2.6603,                 1.8281,              0.0019555,              0.0019555,              0.0019555
                     11,                 2.0865,                  2.262,                 1.7439,                0.36588,                0.37067,                0.32433,                0.11852,                  2.194,                 2.3734,                 1.9773,              0.0019505,              0.0019505,              0.0019505
                     12,                 1.9977,                 2.1812,                 1.6824,                0.32578,                0.38493,                 0.3008,                0.12338,                 2.0338,                 2.3032,                 1.7894,              0.0019456,              0.0019456,              0.0019456
                     13,                 2.0311,                 2.1331,                 1.7298,                0.42528,                0.44912,                0.37915,                0.14531,                 2.0208,                 2.3493,                   1.74,              0.0019406,              0.0019406,              0.0019406
                     14,                 2.0209,                 2.1015,                 1.7042,                0.42894,                0.39919,                0.38527,                0.15375,                  1.967,                 2.0189,                  1.745,              0.0019357,              0.0019357,              0.0019357
                     15,                 2.0159,                 2.1199,                 1.6965,                0.38175,                0.37727,                0.34626,                0.13402,                   1.97,                 2.1163,                 1.7776,              0.0019307,              0.0019307,              0.0019307
                     16,                 1.9772,                 2.0731,                 1.6811,                0.44556,                  0.401,                0.39631,                 0.1681,                 1.9013,                 2.1601,                 1.7276,              0.0019258,              0.0019258,              0.0019258
                     17,                 1.9978,                 2.0667,                 1.6923,                0.51336,                0.42159,                  0.424,                0.17122,                 1.9478,                 1.9776,                 1.7115,              0.0019208,              0.0019208,              0.0019208
                     18,                 1.9226,                 1.9461,                   1.64,                0.39136,                0.50509,                 0.4058,                0.15817,                 1.9125,                 2.1442,                 1.7208,              0.0019159,              0.0019159,              0.0019159
                     19,                 1.9431,                 1.9159,                 1.6448,                0.53764,                0.52138,                  0.548,                0.22939,                 1.9141,                 1.8094,                 1.7021,              0.0019109,              0.0019109,              0.0019109
                     20,                 1.9445,                 1.9892,                 1.6641,                0.48231,                0.49287,                0.47476,                0.19055,                 1.9902,                 1.9118,                 1.7312,               0.001906,               0.001906,               0.001906
                     21,                   1.93,                 1.9422,                 1.6562,                0.49324,                0.53768,                0.49086,                0.21494,                 1.8494,                 1.8216,                 1.6586,               0.001901,               0.001901,               0.001901
                     22,                 1.9339,                 1.9187,                 1.6114,                0.48054,                   0.52,                0.47713,                0.18895,                 1.9244,                 1.9127,                 1.6601,              0.0018961,              0.0018961,              0.0018961
                     23,                 1.9128,                 1.9178,                 1.5979,                0.50894,                0.50027,                0.51275,                 0.2096,                 1.8873,                 1.8059,                 1.6584,              0.0018911,              0.0018911,              0.0018911
                     24,                 1.9166,                 1.8248,                 1.6371,                0.54259,                0.52546,                0.53954,                0.22657,                 1.8856,                 1.7751,                  1.675,              0.0018862,              0.0018862,              0.0018862
                     25,                 1.9099,                 1.8778,                 1.6343,                0.50178,                0.52953,                0.49643,                0.20633,                 1.8957,                 1.7698,                  1.669,              0.0018812,              0.0018812,              0.0018812
                     26,                 1.9155,                 1.9065,                 1.6568,                0.48701,                0.52953,                0.50144,                0.21755,                 1.8607,                 1.7861,                 1.6794,              0.0018763,              0.0018763,              0.0018763
                     27,                 1.8786,                 1.8552,                 1.6159,                0.57454,                0.51731,                0.55241,                0.24321,                 1.8467,                 1.7354,                 1.6548,              0.0018713,              0.0018713,              0.0018713
                     28,                 1.8607,                  1.853,                 1.6071,                0.53262,                0.56008,                0.54911,                0.23913,                 1.8404,                 1.6642,                 1.6529,              0.0018663,              0.0018663,              0.0018663
                     29,                 1.9018,                 1.8031,                 1.6412,                0.60251,                0.53971,                0.57377,                 0.2584,                 1.7719,                 1.6687,                 1.6089,              0.0018614,              0.0018614,              0.0018614
