epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.7628,1.65182,2.62637,1.76421,0.23798,0.59302,0.32749,0.11969,2.01209,12.7412,2.52996,0.000658228,0.000658228,0.000658228
2,21.8845,1.77953,1.96034,1.84058,0.10277,0.26744,0.07287,0.01803,2.92654,13.5003,5.06982,0.00132162,0.00132162,0.00132162
3,29.8634,1.87535,1.97665,1.91936,0.38695,0.48837,0.38405,0.14423,2.34658,3.50376,3.05517,0.0019817,0.0019817,0.0019817
4,37.8339,1.88154,1.98277,1.91957,0.44133,0.4186,0.38301,0.1793,1.9284,4.8118,2.32111,0.00198515,0.00198515,0.00198515
5,45.4876,1.77441,1.83289,1.79129,0.59622,0.37209,0.44414,0.20309,1.93269,2.09429,2.19591,0.0019802,0.0019802,0.0019802
6,53.551,1.78134,1.81809,1.79711,0.47305,0.47093,0.46226,0.20295,1.95855,2.67806,2.24124,0.00197525,0.00197525,0.00197525
7,61.2889,1.69694,1.69431,1.78181,0.72981,0.61246,0.65098,0.31184,1.81127,1.87666,2.15006,0.0019703,0.0019703,0.0019703
8,69.2032,1.71929,1.64971,1.74922,0.68983,0.5814,0.64051,0.29769,1.97727,1.6882,2.18647,0.00196535,0.00196535,0.00196535
9,76.7332,1.68399,1.64769,1.73239,0.67604,0.65516,0.69235,0.33656,1.8274,1.71995,2.06234,0.0019604,0.0019604,0.0019604
10,84.7186,1.68177,1.55712,1.71263,0.68592,0.61628,0.69746,0.3524,1.66162,1.49234,1.85529,0.00195545,0.00195545,0.00195545
11,92.3437,1.69417,1.5619,1.71503,0.73366,0.62461,0.73058,0.39509,1.58833,1.52285,1.80921,0.0019505,0.0019505,0.0019505
12,100.348,1.61409,1.46701,1.64096,0.74404,0.69767,0.76638,0.38575,1.79688,1.33352,2.03271,0.00194555,0.00194555,0.00194555
13,107.872,1.60305,1.44432,1.63191,0.71348,0.6686,0.72186,0.34849,1.71553,1.40486,1.972,0.0019406,0.0019406,0.0019406
14,115.778,1.56662,1.40874,1.62157,0.79614,0.70385,0.77855,0.41108,1.59112,1.44647,1.90413,0.00193565,0.00193565,0.00193565
15,123.49,1.55425,1.39005,1.62961,0.77068,0.72294,0.79152,0.42257,1.5554,1.30182,1.80762,0.0019307,0.0019307,0.0019307
16,131.441,1.58333,1.37985,1.64119,0.85458,0.7175,0.80861,0.43213,1.5812,1.31677,1.84714,0.00192575,0.00192575,0.00192575
17,139.235,1.49662,1.27075,1.56077,0.81339,0.8363,0.86175,0.49963,1.47976,1.07781,1.72381,0.0019208,0.0019208,0.0019208
18,147.032,1.50352,1.24847,1.53272,0.79392,0.75,0.76928,0.43198,1.58273,1.17994,1.81566,0.00191585,0.00191585,0.00191585
19,154.722,1.50191,1.23604,1.5661,0.84892,0.72674,0.84179,0.46877,1.58057,1.05427,1.79585,0.0019109,0.0019109,0.0019109
20,162.566,1.50187,1.23284,1.53876,0.84229,0.7907,0.85556,0.48178,1.55724,1.09671,1.76655,0.00190595,0.00190595,0.00190595
21,170.204,1.47633,1.21824,1.57613,0.83448,0.77907,0.87258,0.49989,1.47758,1.06743,1.72522,0.001901,0.001901,0.001901
22,178.013,1.46222,1.16195,1.51376,0.85593,0.75992,0.85503,0.49144,1.49392,1.03715,1.73184,0.00189605,0.00189605,0.00189605
23,185.865,1.46355,1.20058,1.53544,0.88797,0.73729,0.84745,0.4692,1.51302,1.14783,1.78404,0.0018911,0.0018911,0.0018911
24,193.549,1.4038,1.0969,1.47661,0.83265,0.7907,0.85422,0.48134,1.50839,1.06848,1.75538,0.00188615,0.00188615,0.00188615
25,201.46,1.44442,1.12634,1.50573,0.87,0.81395,0.87137,0.48925,1.48019,1.0263,1.72171,0.0018812,0.0018812,0.0018812
26,209.301,1.41304,1.10984,1.49148,0.82459,0.84729,0.90157,0.54291,1.47422,0.93076,1.69031,0.00187625,0.00187625,0.00187625
27,217.043,1.42809,1.09323,1.51943,0.83389,0.84645,0.88377,0.51414,1.48562,0.97024,1.74326,0.0018713,0.0018713,0.0018713
28,224.666,1.40883,1.1012,1.48936,0.90104,0.87209,0.90759,0.5395,1.37824,0.9141,1.66011,0.00186635,0.00186635,0.00186635
29,232.589,1.41118,1.05147,1.46568,0.91833,0.78448,0.88876,0.52769,1.44414,0.95633,1.71104,0.0018614,0.0018614,0.0018614
30,240.24,1.38523,1.04647,1.44739,0.89889,0.88953,0.92019,0.534,1.45558,0.87988,1.6942,0.00185645,0.00185645,0.00185645
31,248.071,1.3808,1.04495,1.45378,0.84706,0.87791,0.92657,0.54537,1.39401,0.86366,1.62998,0.0018515,0.0018515,0.0018515
32,255.793,1.34985,1.03584,1.42967,0.85527,0.8589,0.9076,0.55409,1.39529,0.83621,1.62363,0.00184655,0.00184655,0.00184655
33,263.896,1.36334,1.03919,1.45663,0.87322,0.86628,0.89577,0.56299,1.34432,0.87172,1.61222,0.0018416,0.0018416,0.0018416
34,271.4,1.33494,0.97251,1.42732,0.8774,0.89535,0.93045,0.5841,1.35749,0.7921,1.59849,0.00183665,0.00183665,0.00183665
35,279.321,1.33993,0.96911,1.42561,0.9178,0.84388,0.92109,0.55759,1.42641,0.84853,1.66207,0.0018317,0.0018317,0.0018317
36,286.975,1.34408,1.02958,1.44142,0.89664,0.80233,0.88883,0.55491,1.38147,0.87196,1.62395,0.00182675,0.00182675,0.00182675
37,294.889,1.35287,1.00275,1.43679,0.84677,0.86628,0.91034,0.53497,1.44373,0.88304,1.70534,0.0018218,0.0018218,0.0018218
38,302.361,1.3151,0.97744,1.41059,0.91847,0.85143,0.91832,0.56439,1.36735,0.90763,1.63221,0.00181685,0.00181685,0.00181685
39,309.994,1.32317,0.95708,1.40845,0.84605,0.86272,0.91865,0.55563,1.39478,0.82634,1.63323,0.0018119,0.0018119,0.0018119
40,317.685,1.3517,0.94697,1.42612,0.8962,0.85332,0.9142,0.56704,1.35322,0.83467,1.60059,0.00180695,0.00180695,0.00180695
41,325.468,1.30577,0.9714,1.41867,0.92089,0.87791,0.92798,0.58289,1.36274,0.81427,1.60773,0.001802,0.001802,0.001802
42,333.058,1.31432,0.95763,1.41553,0.8182,0.85465,0.89683,0.53321,1.44983,0.88785,1.70268,0.00179705,0.00179705,0.00179705
43,340.665,1.32042,0.96413,1.41879,0.90111,0.84884,0.91674,0.57415,1.38745,0.81183,1.60922,0.0017921,0.0017921,0.0017921
44,348.414,1.30977,0.95656,1.41977,0.87151,0.88372,0.89732,0.49315,1.52184,0.93013,1.6865,0.00178715,0.00178715,0.00178715
45,356.077,1.32356,0.95099,1.40016,0.91483,0.85465,0.93174,0.60033,1.35037,0.80714,1.60322,0.0017822,0.0017822,0.0017822
